Post ID,Media Type,Taken At,Caption,Likes,Comments,Thumbnail,Reach,Impressions,Saves,Shares,Engagement,Engagement Rate (%),Profile Views,Exits,Taps Forward,Taps Back,Replies,Follows,Thumbnail Local Path
3596847368952226613_8389046195,Post,2025-03-26,"🏆 THIS FRIDAY VARSITY CLOSING PARTY 🏆

Celebrate the end of ...",245,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486087286_18264391108278196_3898813095124643774_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=me9wUGEWlhsQ7kNvwEkNJQq&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5Njg0NzM2ODk1MjIyNjYxMw%3D%3D.3-ccb7-5&oh=00_AfEnGQMr1899ncnhkDpFsjipmsZWNV07AGB5RNfkWkjYsw&oe=67FEBED3&_nc_sid=b41fef,5529,9882,0,22,267,4.83,36,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486087286_18264391108278196_3898813095124643774_n.jpg
3594808666012886769_8389046195,Carousel,2025-03-25,Have you tried The Champions Blend yet? 🤩 also available at ...,81,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485973085_18263766715278196_3901061501242288793_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=LpyGoIvteg0Q7kNvwHXz0OM&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NDgwODY2NjAxMjg4Njc2OQ%3D%3D.3-ccb7-5&oh=00_AfFkv_j4mFzGKfmZjhiJ9Nutrf66lrn7ALnxDMQ8nSANjA&oe=67FED531&_nc_sid=b41fef,2723,4083,0,1,82,3.01,18,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485973085_18263766715278196_3901061501242288793_n.jpg
3595337244534343516_8389046195,Post,2025-03-24,"🏆 THIS WEDNESDAY GET READY FOR VARSITY VENSDAY 🏆

🏆 Varsity ...",62,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486650423_18264185857278196_6769063728414987210_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=pOLUHE5rQrUQ7kNvwGC7CYC&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NTMzNzI0NDUzNDM0MzUxNg%3D%3D.3-ccb7-5&oh=00_AfGuUOnlr1pZTzoQpinPNDQ7L8hhej4xMyV2jDagrhJw6A&oe=67FEDBA4&_nc_sid=b41fef,1770,2062,0,3,66,3.73,34,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486650423_18264185857278196_6769063728414987210_n.jpg
3592649779964870983_8389046195,Carousel,2025-03-23,Try the Varsity Champions Blend drink throughout Varsity wee...,107,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/484620090_18263766490278196_3731397921058380375_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=VIMOWOuwU-8Q7kNvwHMt-XO&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjY0OTc3OTk2NDg3MDk4Mw%3D%3D.3-ccb7-5&oh=00_AfEUgDxfj2rT6Faev_4v1jyaHTA0aW7rLXtpqXHvx8BzGQ&oe=67FEF0AB&_nc_sid=b41fef,3264,4542,0,1,109,3.34,66,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/484620090_18263766490278196_3731397921058380375_n.jpg
3592649382118322167_8389046195,Carousel,2025-03-20,"VENSDAY highlights 🤩 huge shoutout to @crazyhands.ukc 🫶

🏆 G...",89,4,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485112852_18263767714278196_9185073815755901403_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi4xMTc5eDIwOTYuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=IMuZ5zHUiRUQ7kNvwFheo5a&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjY0OTM4MjExODMyMjE2Nw%3D%3D.3-ccb7-5&oh=00_AfFVc14W2gEr6B1_h8lK28MQIdJZLwUS8nRrJrZMTDPo7g&oe=67FEDF45&_nc_sid=b41fef,2573,2773,0,0,93,3.61,11,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485112852_18263767714278196_9185073815755901403_n.jpg
3592626769660884152_8389046195,Post,2025-03-20,"🏆 VARSITY CLOSING PARTY 🏆

Celebrate the end of Varsity 2025...",121,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485014804_18263799112278196_5782057131926503332_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=nOYHAI6segYQ7kNvwGPx7hY&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjYyNjc2OTY2MDg4NDE1Mg%3D%3D.3-ccb7-5&oh=00_AfFAjD36gRwH07CxcNletFY08haJ6g43y1BenZiUIPXsWw&oe=67FEC826&_nc_sid=b41fef,3482,5375,0,18,139,3.99,51,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485014804_18263799112278196_5782057131926503332_n.jpg
3592498668301810341_8389046195,Post,2025-03-20,"The ultimate EMO TRIBUTE NIGHT is coming to Canterbury 🖤

Di...",54,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/484882724_18263689486278196_6544563658216911616_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=nOFC0WcW7xIQ7kNvwHehWlp&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjQ5ODY2ODMwMTgxMDM0MQ%3D%3D.3-ccb7-5&oh=00_AfHaM3QCrjgjlwHQbRxsqfV75JjzWeP2xYP5Lb19ddATHA&oe=67FEDCFA&_nc_sid=b41fef,2605,4350,0,1,55,2.11,12,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/484882724_18263689486278196_6544563658216911616_n.jpg
3591789131701875309_8389046195,Reel,2025-03-19,VARSITY COUNTDOWN IS ON! Unleash the champion within 🏆🍹 Our ...,59,0,,2027,3584,0,3,62,3.06,8,0,0,0,0,0,
3591214001170787609_8389046195,Reel,2025-03-18,"Become a WORLD RECORD HOLDER at Vensday tomorrow night 🏆☘️

...",162,1,,3636,5943,0,2,165,4.54,10,0,0,0,0,0,
3591174860243638925_59579550046,Post,2025-03-18,"TICKETS ON SALE NOW 🌶️

We’re already down to the FINAL 20 £...",33,3,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/485039572_17940244598990047_1207515166454679167_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=LJ8lkhQI6BgQ7kNvwEJ_bTc&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MTE3NDg2MDI0MzYzODkyNQ%3D%3D.3-ccb7-5&oh=00_AfEp7MR2GJ32RD2ELKqJm--Ul2nPdeKfvQ2fgHDbl_5aOA&oe=67FED39D&_nc_sid=b41fef,2132,2348,0,6,42,1.97,3,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485039572_17940244598990047_1207515166454679167_n.jpg
